COD_GERAL;ANO;UF_CODIGO;UF_SIGLA;CARGO_DESCRICAO;CARGO_CODIGO;TIPO_LEGENDA;COLIGACAO_NOME;COLIGACAO_CODIGO;MINIMO;COLIGACAO_COMPOSICAO;COLIGACAO_COMPOSICAO TSE;N PARTIDOS;PARTIDO_NUMERO;PARTIDO_SIGLA;PARTIDO_NOME;VOTOS NOMINAIS;VOTOS LEGENDA;CABECA
1994101101;1994;10;BR;PRESIDENTE;1;COLIGACAO;FRENTE BRASIL POPULAR PELA CIDADANIA;1101;101;PCdoB/PPS/PSB/PSTU/PT/PV;;6;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;0;0;0
1994101102;1994;10;BR;PRESIDENTE;1;COLIGACAO;DESENVOLVIMENTO DO BRASIL;1102;102;PMDB/PSD;;2;41;PSD;PARTIDO SOCIAL DEMOCRATICO;0;0;0
1994101101;1994;10;BR;PRESIDENTE;1;COLIGACAO;FRENTE BRASIL POPULAR PELA CIDADANIA;1101;101;PCdoB/PPS/PSB/PSTU/PT/PV;;6;43;PV;PARTIDO VERDE;0;0;0
1994101100;1994;10;BR;PRESIDENTE;1;COLIGACAO;UNIÃO, TRABALHO E PROGRESSO;1100;100;PFL/PSDB/PTB;;3;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;34346093;0;1
1994101056;1994;10;BR;PRESIDENTE;1;PARTIDO ISOLADO;NA;1056;56;PRONA;;1;56;PRONA;PARTIDO DA REEDIFICACAO DA ORDEM NACIONAL;4671063;0;1
1994101101;1994;10;BR;PRESIDENTE;1;COLIGACAO;FRENTE BRASIL POPULAR PELA CIDADANIA;1101;101;PCdoB/PPS/PSB/PSTU/PT/PV;;6;65;PC do B;PARTIDO COMUNISTA DO BRASIL;0;0;0
1994123102;1994;12;AC;GOVERNADOR;3;COLIGACAO;PPR/PP;3102;102;PP/PPR;PPR/PP;2;11;PPR;PARTIDO PROGRESSISTA REFORMADOR;79331;0;1
1994123101;1994;12;AC;GOVERNADOR;3;COLIGACAO;PMDB/PDT/PSDB;3101;101;PDT/PMDB/PSDB;PDT/PMDB/PSDB;3;12;PDT;PARTIDO DEMOCRATICO TRABALHISTA;0;0;0
1994123100;1994;12;AC;GOVERNADOR;3;COLIGACAO;FRENTE POPULAR DO ACRE;3100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;13;PT;PARTIDO DOS TRABALHADORES;41830;0;1
1994123101;1994;12;AC;GOVERNADOR;3;COLIGACAO;PMDB/PDT/PSDB;3101;101;PDT/PMDB/PSDB;PDT/PMDB/PSDB;3;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;46280;0;1
1994123100;1994;12;AC;GOVERNADOR;3;COLIGACAO;FRENTE POPULAR DO ACRE;3100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;0;0;0
1994123100;1994;12;AC;GOVERNADOR;3;COLIGACAO;FRENTE POPULAR DO ACRE;3100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;23;PPS;PARTIDO POPULAR SOCIALISTA;0;0;0
1994123102;1994;12;AC;GOVERNADOR;3;COLIGACAO;PPR/PP;3102;102;PP/PPR;PPR/PP;2;39;PP;PARTIDO PROGRESSISTA;0;0;0
1994123100;1994;12;AC;GOVERNADOR;3;COLIGACAO;FRENTE POPULAR DO ACRE;3100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;0;0;0
1994123100;1994;12;AC;GOVERNADOR;3;COLIGACAO;FRENTE POPULAR DO ACRE;3100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;43;PV;PARTIDO VERDE;0;0;0
1994123101;1994;12;AC;GOVERNADOR;3;COLIGACAO;PMDB/PDT/PSDB;3101;101;PDT/PMDB/PSDB;PDT/PMDB/PSDB;3;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;0;0;0
1994123056;1994;12;AC;GOVERNADOR;3;PARTIDO ISOLADO;NA;3056;56;PRONA;PRONA;1;56;PRONA;PARTIDO DA REEDIFICACAO DA ORDEM NACIONAL;2077;0;1
1994123100;1994;12;AC;GOVERNADOR;3;COLIGACAO;FRENTE POPULAR DO ACRE;3100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;65;PC DO B;PARTIDO COMUNISTA DO BRASIL;0;0;0
1994125102;1994;12;AC;SENADOR;5;COLIGACAO;PPR/PP;5102;102;PP/PPR;PPR/PP;2;11;PPR;PARTIDO PROGRESSISTA REFORMADOR;101628;0;1
1994125101;1994;12;AC;SENADOR;5;COLIGACAO;PMDB/PDT/PSDB;5101;101;PDT/PMDB/PSDB;PDT/PMDB/PSDB;3;12;PDT;PARTIDO DEMOCRATICO TRABALHISTA;0;0;0
1994125100;1994;12;AC;SENADOR;5;COLIGACAO;FRENTE POPULAR DO ACRE;5100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;13;PT;PARTIDO DOS TRABALHADORES;64436;0;1
1994125101;1994;12;AC;SENADOR;5;COLIGACAO;PMDB/PDT/PSDB;5101;101;PDT/PMDB/PSDB;PDT/PMDB/PSDB;3;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;113393;0;1
1994125100;1994;12;AC;SENADOR;5;COLIGACAO;FRENTE POPULAR DO ACRE;5100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;0;0;0
1994125022;1994;12;AC;SENADOR;5;PARTIDO ISOLADO;NA;5022;22;PL;PL;1;22;PL;PARTIDO LIBERAL;11921;0;1
1994125100;1994;12;AC;SENADOR;5;COLIGACAO;FRENTE POPULAR DO ACRE;5100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;23;PPS;PARTIDO POPULAR SOCIALISTA;0;0;0
1994125102;1994;12;AC;SENADOR;5;COLIGACAO;PPR/PP;5102;102;PP/PPR;PPR/PP;2;39;PP;PARTIDO PROGRESSISTA;0;0;0
1994125100;1994;12;AC;SENADOR;5;COLIGACAO;FRENTE POPULAR DO ACRE;5100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;0;0;0
1994125100;1994;12;AC;SENADOR;5;COLIGACAO;FRENTE POPULAR DO ACRE;5100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;43;PV;PARTIDO VERDE;0;0;0
1994125101;1994;12;AC;SENADOR;5;COLIGACAO;PMDB/PDT/PSDB;5101;101;PDT/PMDB/PSDB;PDT/PMDB/PSDB;3;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;0;0;0
1994125056;1994;12;AC;SENADOR;5;PARTIDO ISOLADO;NA;5056;56;PRONA;PRONA;1;56;PRONA;PARTIDO DA REEDIFICACAO DA ORDEM NACIONAL;9905;0;1
1994125100;1994;12;AC;SENADOR;5;COLIGACAO;FRENTE POPULAR DO ACRE;5100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;65;PC DO B;PARTIDO COMUNISTA DO BRASIL;0;0;0
1994126102;1994;12;AC;DEPUTADO FEDERAL;6;COLIGACAO;PPR/PP;6102;102;PP/PPR;PPR/PP;2;11;PPR;PARTIDO PROGRESSISTA REFORMADOR;48109;967;9
1994126101;1994;12;AC;DEPUTADO FEDERAL;6;COLIGACAO;PMDB/PDT/PSDB;6101;101;PDT/PMDB/PSDB;PDT/PMDB/PSDB;3;12;PDT;PARTIDO DEMOCRATICO TRABALHISTA;2228;57;9
1994126100;1994;12;AC;DEPUTADO FEDERAL;6;COLIGACAO;FRENTE POPULAR DO ACRE;6100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;13;PT;PARTIDO DOS TRABALHADORES;5668;1577;9
1994126103;1994;12;AC;DEPUTADO FEDERAL;6;COLIGACAO;FRENTE DE MOBILIZACAO TRABALHISTA;6103;103;PMN/PTB;PTB/PMN;2;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;884;37;9
1994126101;1994;12;AC;DEPUTADO FEDERAL;6;COLIGACAO;PMDB/PDT/PSDB;6101;101;PDT/PMDB/PSDB;PDT/PMDB/PSDB;3;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;53124;765;9
1994126100;1994;12;AC;DEPUTADO FEDERAL;6;COLIGACAO;FRENTE POPULAR DO ACRE;6100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;842;6;9
1994126104;1994;12;AC;DEPUTADO FEDERAL;6;COLIGACAO;LIBERAL;6104;104;PFL/PL;PL/PFL;2;22;PL;PARTIDO LIBERAL;0;0;9
1994126100;1994;12;AC;DEPUTADO FEDERAL;6;COLIGACAO;FRENTE POPULAR DO ACRE;6100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;23;PPS;PARTIDO POPULAR SOCIALISTA;0;0;9
1994126104;1994;12;AC;DEPUTADO FEDERAL;6;COLIGACAO;LIBERAL;6104;104;PFL/PL;PL/PFL;2;25;PFL;PARTIDO DA FRENTE LIBERAL;514;60;9
1994126103;1994;12;AC;DEPUTADO FEDERAL;6;COLIGACAO;FRENTE DE MOBILIZACAO TRABALHISTA;6103;103;PMN/PTB;PTB/PMN;2;33;PMN;PARTIDO DA MOBILIZACAO NACIONAL;0;0;9
1994126102;1994;12;AC;DEPUTADO FEDERAL;6;COLIGACAO;PPR/PP;6102;102;PP/PPR;PPR/PP;2;39;PP;PARTIDO PROGRESSISTA;7583;22;9
1994126100;1994;12;AC;DEPUTADO FEDERAL;6;COLIGACAO;FRENTE POPULAR DO ACRE;6100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;202;5;9
1994126100;1994;12;AC;DEPUTADO FEDERAL;6;COLIGACAO;FRENTE POPULAR DO ACRE;6100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;43;PV;PARTIDO VERDE;334;10;9
1994126101;1994;12;AC;DEPUTADO FEDERAL;6;COLIGACAO;PMDB/PDT/PSDB;6101;101;PDT/PMDB/PSDB;PDT/PMDB/PSDB;3;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;1675;107;9
1994126056;1994;12;AC;DEPUTADO FEDERAL;6;PARTIDO ISOLADO;NA;6056;56;PRONA;PRONA;1;56;PRONA;PARTIDO DA REEDIFICACAO DA ORDEM NACIONAL;14;45;9
1994126100;1994;12;AC;DEPUTADO FEDERAL;6;COLIGACAO;FRENTE POPULAR DO ACRE;6100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;65;PC DO B;PARTIDO COMUNISTA DO BRASIL;12878;27;9
1994127102;1994;12;AC;DEPUTADO ESTADUAL;7;COLIGACAO;PPR/PP;7102;102;PP/PPR;PPR/PP;2;11;PPR;PARTIDO PROGRESSISTA REFORMADOR;50201;757;9
1994127101;1994;12;AC;DEPUTADO ESTADUAL;7;COLIGACAO;PMDB/PDT/PSDB;7101;101;PDT/PMDB/PSDB;PDT/PMDB/PSDB;3;12;PDT;PARTIDO DEMOCRATICO TRABALHISTA;1519;47;9
1994127100;1994;12;AC;DEPUTADO ESTADUAL;7;COLIGACAO;FRENTE POPULAR DO ACRE;7100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;13;PT;PARTIDO DOS TRABALHADORES;11529;1100;9
1994127103;1994;12;AC;DEPUTADO ESTADUAL;7;COLIGACAO;FRENTE DE MOBILIZACAO TRABALHISTA;7103;103;PMN/PTB;PTB/PMN;2;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;4847;24;9
1994127101;1994;12;AC;DEPUTADO ESTADUAL;7;COLIGACAO;PMDB/PDT/PSDB;7101;101;PDT/PMDB/PSDB;PDT/PMDB/PSDB;3;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;35663;471;9
1994127100;1994;12;AC;DEPUTADO ESTADUAL;7;COLIGACAO;FRENTE POPULAR DO ACRE;7100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;268;3;9
1994127104;1994;12;AC;DEPUTADO ESTADUAL;7;COLIGACAO;LIBERAL;7104;104;PFL/PL;PL/PFL;2;22;PL;PARTIDO LIBERAL;5790;69;9
1994127100;1994;12;AC;DEPUTADO ESTADUAL;7;COLIGACAO;FRENTE POPULAR DO ACRE;7100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;23;PPS;PARTIDO POPULAR SOCIALISTA;198;6;9
1994127104;1994;12;AC;DEPUTADO ESTADUAL;7;COLIGACAO;LIBERAL;7104;104;PFL/PL;PL/PFL;2;25;PFL;PARTIDO DA FRENTE LIBERAL;29980;60;9
1994127103;1994;12;AC;DEPUTADO ESTADUAL;7;COLIGACAO;FRENTE DE MOBILIZACAO TRABALHISTA;7103;103;PMN/PTB;PTB/PMN;2;33;PMN;PARTIDO DA MOBILIZACAO NACIONAL;12960;39;9
1994127102;1994;12;AC;DEPUTADO ESTADUAL;7;COLIGACAO;PPR/PP;7102;102;PP/PPR;PPR/PP;2;39;PP;PARTIDO PROGRESSISTA;1508;13;9
1994127100;1994;12;AC;DEPUTADO ESTADUAL;7;COLIGACAO;FRENTE POPULAR DO ACRE;7100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;1503;7;9
1994127100;1994;12;AC;DEPUTADO ESTADUAL;7;COLIGACAO;FRENTE POPULAR DO ACRE;7100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;43;PV;PARTIDO VERDE;549;30;9
1994127101;1994;12;AC;DEPUTADO ESTADUAL;7;COLIGACAO;PMDB/PDT/PSDB;7101;101;PDT/PMDB/PSDB;PDT/PMDB/PSDB;3;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;4989;59;9
1994127056;1994;12;AC;DEPUTADO ESTADUAL;7;PARTIDO ISOLADO;NA;7056;56;PRONA;PRONA;1;56;PRONA;PARTIDO DA REEDIFICACAO DA ORDEM NACIONAL;3;32;9
1994127100;1994;12;AC;DEPUTADO ESTADUAL;7;COLIGACAO;FRENTE POPULAR DO ACRE;7100;100;PC DO B/PPS/PSB/PSTU/PT/PV;PT/PSTU/PPS/PSB/PV/PC DO B;6;65;PC DO B;PARTIDO COMUNISTA DO BRASIL;3730;9;9
1994133100;1994;13;AM;GOVERNADOR;3;COLIGACAO;ALIANCA DO POVO;3100;100;PDT/PFL/PP/PPR/PTB;PPR/PDT/PTB/PFL/PP;5;11;PPR;PARTIDO PROGRESSISTA REFORMADOR;406060;0;1
1994133100;1994;13;AM;GOVERNADOR;3;COLIGACAO;ALIANCA DO POVO;3100;100;PDT/PFL/PP/PPR/PTB;PPR/PDT/PTB/PFL/PP;5;12;PDT;PARTIDO DEMOCRATICO TRABALHISTA;0;0;0
1994133101;1994;13;AM;GOVERNADOR;3;COLIGACAO;FRENTE AMAZONAS POPULAR;3101;101;PSTU/PT/PT DO B/PV;PT/PSTU/PV/PT DO B;4;13;PT;PARTIDO DOS TRABALHADORES;49654;0;1
1994133100;1994;13;AM;GOVERNADOR;3;COLIGACAO;ALIANCA DO POVO;3100;100;PDT/PFL/PP/PPR/PTB;PPR/PDT/PTB/PFL/PP;5;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;0;0;0
1994133101;1994;13;AM;GOVERNADOR;3;COLIGACAO;FRENTE AMAZONAS POPULAR;3101;101;PSTU/PT/PT DO B/PV;PT/PSTU/PV/PT DO B;4;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;0;0;0
1994133102;1994;13;AM;GOVERNADOR;3;COLIGACAO;FRENTE DE OPOSICAO DO AMAZONAS;3102;102;PC DO B/PL/PMN/PPS/PRONA/PSB;PL/PPS/PMN/PSB/PRONA/PC DO B;6;22;PL;PARTIDO LIBERAL;196456;0;1
1994133102;1994;13;AM;GOVERNADOR;3;COLIGACAO;FRENTE DE OPOSICAO DO AMAZONAS;3102;102;PC DO B/PL/PMN/PPS/PRONA/PSB;PL/PPS/PMN/PSB/PRONA/PC DO B;6;23;PPS;PARTIDO POPULAR SOCIALISTA;0;0;0
1994133100;1994;13;AM;GOVERNADOR;3;COLIGACAO;ALIANCA DO POVO;3100;100;PDT/PFL/PP/PPR/PTB;PPR/PDT/PTB/PFL/PP;5;25;PFL;PARTIDO DA FRENTE LIBERAL;0;0;0
1994133102;1994;13;AM;GOVERNADOR;3;COLIGACAO;FRENTE DE OPOSICAO DO AMAZONAS;3102;102;PC DO B/PL/PMN/PPS/PRONA/PSB;PL/PPS/PMN/PSB/PRONA/PC DO B;6;33;PMN;PARTIDO DA MOBILIZACAO NACIONAL;0;0;0
1994133100;1994;13;AM;GOVERNADOR;3;COLIGACAO;ALIANCA DO POVO;3100;100;PDT/PFL/PP/PPR/PTB;PPR/PDT/PTB/PFL/PP;5;39;PP;PARTIDO PROGRESSISTA;0;0;0
1994133102;1994;13;AM;GOVERNADOR;3;COLIGACAO;FRENTE DE OPOSICAO DO AMAZONAS;3102;102;PC DO B/PL/PMN/PPS/PRONA/PSB;PL/PPS/PMN/PSB/PRONA/PC DO B;6;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;0;0;0
1994133101;1994;13;AM;GOVERNADOR;3;COLIGACAO;FRENTE AMAZONAS POPULAR;3101;101;PSTU/PT/PT DO B/PV;PT/PSTU/PV/PT DO B;4;43;PV;PARTIDO VERDE;0;0;0
1994133102;1994;13;AM;GOVERNADOR;3;COLIGACAO;FRENTE DE OPOSICAO DO AMAZONAS;3102;102;PC DO B/PL/PMN/PPS/PRONA/PSB;PL/PPS/PMN/PSB/PRONA/PC DO B;6;56;PRONA;PARTIDO DA REEDIFICACAO DA ORDEM NACIONAL;0;0;0
1994133102;1994;13;AM;GOVERNADOR;3;COLIGACAO;FRENTE DE OPOSICAO DO AMAZONAS;3102;102;PC DO B/PL/PMN/PPS/PRONA/PSB;PL/PPS/PMN/PSB/PRONA/PC DO B;6;65;PC DO B;PARTIDO COMUNISTA DO BRASIL;0;0;0
1994133101;1994;13;AM;GOVERNADOR;3;COLIGACAO;FRENTE AMAZONAS POPULAR;3101;101;PSTU/PT/PT DO B/PV;PT/PSTU/PV/PT DO B;4;70;PT DO B;PARTIDO TRABALHISTA DO BRASIL;0;0;0
1994135100;1994;13;AM;SENADOR;5;COLIGACAO;ALIANCA DO POVO;5100;100;PDT/PFL/PP/PPR/PTB;PPR/PDT/PTB/PFL/PP;5;11;PPR;PARTIDO PROGRESSISTA REFORMADOR;0;0;0
1994135100;1994;13;AM;SENADOR;5;COLIGACAO;ALIANCA DO POVO;5100;100;PDT/PFL/PP/PPR/PTB;PPR/PDT/PTB/PFL/PP;5;12;PDT;PARTIDO DEMOCRATICO TRABALHISTA;0;0;0
1994135101;1994;13;AM;SENADOR;5;COLIGACAO;FRENTE AMAZONAS POPULAR;5101;101;PSTU/PT/PT DO B/PV;PT/PSTU/PV/PT DO B;4;13;PT;PARTIDO DOS TRABALHADORES;84451;0;1
1994135100;1994;13;AM;SENADOR;5;COLIGACAO;ALIANCA DO POVO;5100;100;PDT/PFL/PP/PPR/PTB;PPR/PDT/PTB/PFL/PP;5;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;0;0;0
1994135103;1994;13;AM;SENADOR;5;COLIGACAO;ALIANCA INDEPENDENTE DO AMAZONAS;5103;103;PMDB/PSDB;PMDB/PSDB;2;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;206673;0;1
1994135101;1994;13;AM;SENADOR;5;COLIGACAO;FRENTE AMAZONAS POPULAR;5101;101;PSTU/PT/PT DO B/PV;PT/PSTU/PV/PT DO B;4;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;0;0;0
1994135102;1994;13;AM;SENADOR;5;COLIGACAO;FRENTE DE OPOSICAO DO AMAZONAS;5102;102;PC DO B/PL/PMN/PPS/PRONA/PSB;PL/PPS/PMN/PSB/PRONA/PC DO B;6;22;PL;PARTIDO LIBERAL;0;0;0
1994135102;1994;13;AM;SENADOR;5;COLIGACAO;FRENTE DE OPOSICAO DO AMAZONAS;5102;102;PC DO B/PL/PMN/PPS/PRONA/PSB;PL/PPS/PMN/PSB/PRONA/PC DO B;6;23;PPS;PARTIDO POPULAR SOCIALISTA;31946;0;1
1994135100;1994;13;AM;SENADOR;5;COLIGACAO;ALIANCA DO POVO;5100;100;PDT/PFL/PP/PPR/PTB;PPR/PDT/PTB/PFL/PP;5;25;PFL;PARTIDO DA FRENTE LIBERAL;198094;0;1
1994135102;1994;13;AM;SENADOR;5;COLIGACAO;FRENTE DE OPOSICAO DO AMAZONAS;5102;102;PC DO B/PL/PMN/PPS/PRONA/PSB;PL/PPS/PMN/PSB/PRONA/PC DO B;6;33;PMN;PARTIDO DA MOBILIZACAO NACIONAL;0;0;0
1994135100;1994;13;AM;SENADOR;5;COLIGACAO;ALIANCA DO POVO;5100;100;PDT/PFL/PP/PPR/PTB;PPR/PDT/PTB/PFL/PP;5;39;PP;PARTIDO PROGRESSISTA;275652;0;1
1994135102;1994;13;AM;SENADOR;5;COLIGACAO;FRENTE DE OPOSICAO DO AMAZONAS;5102;102;PC DO B/PL/PMN/PPS/PRONA/PSB;PL/PPS/PMN/PSB/PRONA/PC DO B;6;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;60410;0;1
1994135101;1994;13;AM;SENADOR;5;COLIGACAO;FRENTE AMAZONAS POPULAR;5101;101;PSTU/PT/PT DO B/PV;PT/PSTU/PV/PT DO B;4;43;PV;PARTIDO VERDE;0;0;0
1994135103;1994;13;AM;SENADOR;5;COLIGACAO;ALIANCA INDEPENDENTE DO AMAZONAS;5103;103;PMDB/PSDB;PMDB/PSDB;2;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;246776;0;1
1994135102;1994;13;AM;SENADOR;5;COLIGACAO;FRENTE DE OPOSICAO DO AMAZONAS;5102;102;PC DO B/PL/PMN/PPS/PRONA/PSB;PL/PPS/PMN/PSB/PRONA/PC DO B;6;56;PRONA;PARTIDO DA REEDIFICACAO DA ORDEM NACIONAL;0;0;0
1994135102;1994;13;AM;SENADOR;5;COLIGACAO;FRENTE DE OPOSICAO DO AMAZONAS;5102;102;PC DO B/PL/PMN/PPS/PRONA/PSB;PL/PPS/PMN/PSB/PRONA/PC DO B;6;65;PC DO B;PARTIDO COMUNISTA DO BRASIL;0;0;0
1994135101;1994;13;AM;SENADOR;5;COLIGACAO;FRENTE AMAZONAS POPULAR;5101;101;PSTU/PT/PT DO B/PV;PT/PSTU/PV/PT DO B;4;70;PT DO B;PARTIDO TRABALHISTA DO BRASIL;0;0;0
1994136100;1994;13;AM;DEPUTADO FEDERAL;6;COLIGACAO;ALIANCA DO POVO;6100;100;PDT/PFL/PP/PPR/PTB;PPR/PDT/PTB/PFL/PP;5;11;PPR;PARTIDO PROGRESSISTA REFORMADOR;132853;678;9
1994136100;1994;13;AM;DEPUTADO FEDERAL;6;COLIGACAO;ALIANCA DO POVO;6100;100;PDT/PFL/PP/PPR/PTB;PPR/PDT/PTB/PFL/PP;5;12;PDT;PARTIDO DEMOCRATICO TRABALHISTA;15491;126;9
1994136101;1994;13;AM;DEPUTADO FEDERAL;6;COLIGACAO;FRENTE AMAZONAS POPULAR;6101;101;PSTU/PT/PT DO B/PV;PT/PSTU/PV/PT DO B;4;13;PT;PARTIDO DOS TRABALHADORES;10230;3366;9
1994136100;1994;13;AM;DEPUTADO FEDERAL;6;COLIGACAO;ALIANCA DO POVO;6100;100;PDT/PFL/PP/PPR/PTB;PPR/PDT/PTB/PFL/PP;5;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;0;128;9
